('1', '肖申克的救赎', '9.7')
('2', '霸王别姬', '9.6')
('3', '阿甘正传', '9.5')
('4', '泰坦尼克号', '9.5')
('5', '千与千寻', '9.4')
('6', '这个杀手不太冷', '9.4')
('7', '美丽人生', '9.5')
('8', '星际穿越', '9.4')
('9', '盗梦空间', '9.4')
('10', '楚门的世界', '9.4')
('11', '辛德勒的名单', '9.5')
('12', '忠犬八公的故事', '9.4')
('13', '海上钢琴师', '9.3')
('14', '三傻大闹宝莱坞', '9.2')
('15', '放牛班的春天', '9.3')
('16', '机器人总动员', '9.3')
('17', '疯狂动物城', '9.2')
('18', '无间道', '9.3')
('19', '控方证人', '9.6')
('20', '大话西游之大圣娶亲', '9.2')
('21', '熔炉', '9.4')
('22', '教父', '9.3')
('23', '触不可及', '9.3')
('24', '当幸福来敲门', '9.2')
('25', '寻梦环游记', '9.1')
('26', '末代皇帝', '9.3')
('27', '龙猫', '9.2')
('28', '怦然心动', '9.1')
('29', '活着', '9.3')
('30', '哈利·波特与魔法石', '9.2')
('31', '蝙蝠侠：黑暗骑士', '9.2')
('32', '指环王3：王者无敌', '9.3')
('33', '我不是药神', '9.0')
('34', '乱世佳人', '9.3')
('35', '飞屋环游记', '9.1')
('36', '素媛', '9.3')
('37', '哈尔的移动城堡', '9.1')
('38', '十二怒汉', '9.4')
('39', '让子弹飞', '9.0')
('40', '何以为家', '9.1')
('41', '摔跤吧！爸爸', '9.0')
('42', '猫鼠游戏', '9.1')
('43', '天空之城', '9.2')
('44', '海蒂和爷爷', '9.3')
('45', '鬼子来了', '9.3')
('46', '少年派的奇幻漂流', '9.1')
('47', '钢琴家', '9.3')
('48', '大话西游之月光宝盒', '9.0')
('49', '指环王2：双塔奇兵', '9.2')
('50', '闻香识女人', '9.1')
('51', '死亡诗社', '9.2')
('52', '绿皮书', '8.9')
('53', '大闹天宫', '9.4')
('54', '罗马假日', '9.1')
('55', '黑客帝国', '9.1')
('56', '指环王1：护戒使者', '9.1')
('57', '天堂电影院', '9.2')
('58', '教父2', '9.3')
('59', '狮子王', '9.1')
('60', '辩护人', '9.2')
('61', '饮食男女', '9.2')
('62', '搏击俱乐部', '9.0')
