职位名称,薪资,工作经验,学历要求,工作地点,公司名称
安全技术研究员（网安方向，中级）(J10587),15-25K,3-5年,硕士,成都·武侯区·中和,电科网安
网络安全、信息安全技术支持（实习岗）,10-100元/天,5天/周,3个月,成都·武侯区·浆洗街,力桥
信息安全讲师,8-10K,1-3年,大专,成都·武侯区·银泰城,云创动力
信息安全,5-9K,1-3年,本科,成都·武侯区·红牌楼,易利数科
信息安全讲师-兼职,8-9K,3-5年,本科,成都·武侯区·银泰城,知了堂
信息安全工程师,6-10K,1-3年,本科,成都,四川赛闯检测
信息安全（工程师）讲师,10-15K,3-5年,大专,成都·温江区·温江大学城,易腾创想
信息安全工程师,6-9K·13薪,3-5年,大专,成都·青羊区·文殊院,重庆闪云科技有限公司
信息安全工程师,18-20K,1-3年,本科,成都·武侯区·航空路,天奥科技
信息安全工程师,6-10K·13薪,1-3年,本科,成都·武侯区·高朋大道,中成基业
信息安全工程师,6-11K,3-5年,大专,成都,三夫科技开发有限公司
信息安全管理,15-16K,1-3年,本科,成都·武侯区·新会展中心,中移集成
信息安全工程师,12-18K·13薪,1-3年,本科,成都·武侯区·环球中心,普赛睿
信息安全工程师,20-35K·15薪,3-5年,本科,成都·武侯区·新会展中心,瓦可思网络科技
信息安全顾问,12-16K,3-5年,本科,成都·武侯区·桂溪,普华永道
信息安全服务工程师,8-10K,1-3年,本科,成都·武侯区·跳伞塔,奥诚科技
信息安全经理-成都,11-20K·14薪,5-10年,本科,成都·双流区·华阳,康诺亚
信息安全工程师,10-15K,1-3年,本科,成都·成华区·猛追湾,代瑞克能源科技
信息安全咨询顾问,12-20K,3-5年,本科,成都·武侯区·孵化园,国泰网信
高级信息安全工程师,14-28K·15薪,5-10年,本科,成都·武侯区·中和,天翼云
信息安全工程师,7-10K,1-3年,本科,成都·武侯区·新会展中心,中德森
信息安全专员,7-8K,1-3年,大专,成都·武侯区·簇桥,天府智厨
信息安全专员,6-11K·13薪,3-5年,大专,成都·成华区·驷马桥,四川零壹合创科技
信息安全专家,20-30K·13薪,3-5年,本科,成都·武侯区·中和,连连支付
信息安全工程师,15-24K·14薪,5-10年,本科,成都·金牛区·沙湾,积微电商
高级信息安全工程师,14-22K·16薪,3-5年,本科,成都·武侯区·新会展中心,新华三信息安全技...
信息安全高级专员/主管,6-8K,1-3年,本科,成都,光恒互动
信息安全咨询顾问,10-15K,3-5年,本科,成都·武侯区·跳伞塔,四川博全科技有限公司
网络与信息安全工程师,3-5K,1-3年,大专,成都·武侯区·世豪广场,贝内斯信息技术
高级信息安全工程师,10-15K·13薪,3-5年,本科,成都·双流区·华阳,成都蒙亚科技
信息安全规划工程师,5-9K,1-3年,大专,成都·郫都区·高新西,富泰华精密电子
高级信息安全工程师,20-40K·16薪,3-5年,本科,成都·武侯区·新会展中心,快手
信息安全服务工程师,10-15K,经验不限,学历不限,成都·武侯区·新会展中心,集数
信息安全测评项目负责人,12-16K·15薪,3-5年,本科,成都·武侯区·新会展中心,国信安
信息安全体系工程师（成都）(J12267),10-15K·14薪,3-5年,本科,成都,中创新航成都公司
信息安全软件开发高级工程师,16-18K·13薪,3-5年,本科,成都·金牛区·茶店子,广东为辰
信息安全软件产品开发工程师,10-15K,1-3年,本科,成都·成华区·龙湖三千集,北京深谷信息技术
网络安全,7-12K,1年以内,本科,成都,仁达至信
网络安全,14-20K·14薪,3-5年,本科,成都,天融信
网络安全,1-2K,经验不限,学历不限,成都·青羊区·天府广场,四川糖盈信息技术...
网络安全,3-4K,1年以内,大专,成都·金牛区·沙湾,时代安盛
网络安全工程师,6-8K·13薪,经验不限,大专,成都·成华区·驷马桥,江西掌控者信息安...
网络安全研究员,20-40K,3-5年,本科,成都·武侯区·汇锦城,安天
网络安全工程师,25-50K,3-5年,本科,成都·郫都区·高新西,华为
网络安全测评（基线安全方向）,6-11K,1-3年,本科,成都·武侯区·火车南站,成都久信
网络安全工程师,6-10K,1-3年,大专,成都·武侯区·孵化园,网索科技
网络安全,4-8K,1年以内,大专,成都·武侯区·环球中心,颐玖信息
网络安全,15-20K,5-10年,大专,成都·锦江区·水碾河,商通时代数字
网络安全工程师,8-12K,3-5年,大专,成都·武侯区·芳草街,四川建设网
网络安全工程师,4-8K,经验不限,本科,成都·武侯区·省体育馆,成都科汇
网络安全,5-8K,3-5年,大专,成都·金牛区·国宾,美富特
网络安全,10-13K,1-3年,大专,成都·青羊区·光华,奇点信安
网络安全运维工程师,6-10K·14薪,1-3年,本科,成都·金牛区·茶店子,中国航天科工
网络安全,6-9K,经验不限,本科,成都·武侯区·双楠,抓哇互联网科技
网络安全,5-7K,在校/应届,大专,成都·武侯区·新会展中心,智诚天逸
网络安全开发工程师,11-22K·13薪,1-3年,本科,成都·武侯区·环球中心,深思科技
网络安全,3-6K,1-3年,大专,成都·武侯区·新会展中心,成都华软
网络安全专家,8-13K,3-5年,本科,成都·武侯区·伊藤,乐山山嶋文化传媒
网络安全,8-10K·13薪,3-5年,大专,成都·武侯区·五大花园,林成科技
网络安全/8800＋,5-9K,经验不限,大专,成都·成华区·成都理工,泰盈科技集团
网络安全讲师,10-15K,1-3年,本科,成都·金牛区·金泉,泾弦科技
网络安全主管,6-10K,3-5年,大专,成都·邛崃市·羊安,天成明超电缆有限公司
网络安全工程师,6-8K,1-3年,本科,成都·武侯区·石羊场,修齐信息
网络安全工程师,9-12K,1-3年,本科,成都·成华区·双林路,速林网络
网络安全工程师,8-13K,3-5年,本科,成都·龙泉驿区·东山,中国长安汽车
网络安全系统架构师,14-28K,经验不限,本科,成都·青羊区·春熙路,德特赛维
网络安全等级保护测评师,8-10K,1年以内,本科,成都·武侯区·中和,熙安信息
