一环内，地铁口，逍遥津旁，步行街商圈，交通便利,锦绣豪庭,,,115万,"12,698元/平"
双地铁口。正规三房户型。小区中间位置。采光无遮挡,银领时代花园,中楼层(共32层)| 2012年 |2室1厅 | 90.57平米| 南,1人关注/ 3天前发布,130万,"13,287元/平"
品质小区 小高层 户型方正 采光充足 业主诚心出售,长安萨尔斯堡,,,118万,"15,291元/平"
七十年产权，生活方便，带燃气，高层采光好，诚心出售,安粮城市广场QQ公寓,高楼层(共18层)| 2013年 |3室1厅 | 97.84平米| 南,4人关注/ 4天前发布,53万,"9,850元/平"
小区中间位置视野好满五唯一，户型南北通透,滨湖世纪城春融苑,,,135万,"16,348元/平"
沃野花园 2室1厅 南,沃野花园,高楼层(共18层)| 2011年 |2室1厅 | 77.17平米| 南,0人关注/ 5天前发布,108万,"12,653元/平"
政务旁 柳园边户两房 前排 全天采光 满五唯一,禹洲华侨城二期柳园,,,98万,"11,915元/平"
锦门云栖新语 3室2厅 南,锦门云栖新语,高楼层(共32层)| 2013年 |1室1厅 | 53.81平米| 北,7人关注/ 6天前发布,125万,"13,899元/平"
单位大院 停车方便 低楼层 总价低两室 诚心卖,省卫生防疫站宿舍,,,140万,"27,430元/平"
央企招商开发、次新小区、智能社区、精装直接入住,招商东望府,中楼层(共33层)| 2008年 |2室2厅 | 82.58平米| 南 北,1人关注/ 4天前发布,210万,"20,016元/平"
满五唯一的 没有个税 很诚心卖的 市场价,信达西山银杏,,,108万,"21,311元/平"
小区位置安静，两梯三户，采光很好，业主诚售,国际丽晶城,低楼层(共32层)| 2012年 |2室1厅 | 85.36平米| 南,4人关注/ 4天前发布,326万,"30,637元/平"
次新小区 环境好楼层位置好 诚心出售 看房方便,兴港和昌云庭,,,258万,"26,541元/平"
三开间朝南 前方无遮挡 看房随时位置凤凰层,绿地海德公馆,低楼层(共18层)| 2012年 |2室1厅 | 82.25平米| 南,1人关注/ 4天前发布,108万,"12,559元/平"
中南樾府 3室2厅 南 北,中南樾府,,,210万,"21,837元/平"
禹州翡翠湖郡 经典两房婚房装修 中间楼层视野好 诚心,禹洲翡翠湖郡,高楼层(共18层)3室2厅 | 89.94平米| 南,0人关注/ 3天前发布,145万,"17,289元/平"
此房满五税费少，交通便利出行方便，教育资源丰富。,万和新城广场 ,,,170万,"15,497元/平"
精装交付未使用 满二中间楼层 看房方便诚心卖,滨湖金茂悦,低楼层(共6层)2室1厅 | 51.04平米| 东,0人关注/ 3天前发布,270万,"27,838元/平"
房子楼层好采光好，菜市场。公园，商场，地铁口配套,华凌锦苑3期,,,87万,"7,685元/平"
花园洋房 次新小区 随时可看 开窗既是景色 有车位,金鹏麓山院,高楼层(共27层)3室2厅 | 104.92平米| 东,0人关注/ 3天前发布,290万,"24,356元/平"
中间楼层，三开间朝南，采光无遮挡，地铁5号线,金安花园,,,120万,"17,661元/平"
明珠广场华地润园次新小区精装修,华地润园,中楼层(共28层)| 2014年 |1室1厅 | 50.68平米| 南,0人关注/ 3天前发布,175万,"19,606元/平"
世纪阳光花园兰阳苑 3室2厅 南,世纪阳光花园兰阳苑,,,226万,"19,591元/平"
小区中间楼层，采光充足，安静。,巴黎春天,中楼层(共18层)| 2006年 |2室2厅 | 106.41平米| 北 南,0人关注/ 3天前发布,100万,"12,132元/平"
御安西苑 3室2厅 南,御安西苑,,,160万,"13,297元/平"
幸福园 3室1厅 南 北,幸福园,高楼层(共18层)3室2厅 | 97.21平米| 南 北,0人关注/ 3天前发布,102万,"11,179元/平"
新小区，采光充足，户型方正，业主诚心出售,世茂云锦璞园,,,100万,"10,764元/平"
地铁口   采光全天的   业主诚心卖,万振城市广场,高楼层(共30层)| 2016年 |3室2厅 | 86平米| 南,0人关注/ 3天前发布,115万,"12,329元/平"
此房满五唯一，业主自住装修保养很好，,地矿家园,,,156万,"16,118元/平"
多层小区，经典两房，阳光充足，公摊小，购房成本低,兴园小区北区,高楼层(共18层)3室2厅 | 96.17平米| 南 北,0人关注/ 3天前发布,73万,"12,873元/平"
含116平米车库 南北通透 开发商精装修 采光好,置地栢悦轩,,,660万,"35,540元/平"
明珠广场位置，满五唯一，有地铁医疗,金大地时代天街,低楼层(共26层)3室2厅 | 185.71平米| 南 北,1人关注/ 4天前发布,90万,"16,511元/平"
世纪阳光花园兰阳苑 市政供暖  边户全明 景观楼层,世纪阳光花园兰阳苑,,,175万,"19,797元/平"
华宇信达锦绣蘭庭 3室1厅 西,华宇信达锦绣蘭庭,中楼层(共33层)| 2017年 |2室1厅 | 54.51平米| 南,2人关注/ 4天前发布,242万,"23,633元/平"
招商奥体公园旁 君御天下次新小区 洋房未住 诚心出售,力高大发君御天下,,,155万,"15,541元/平"
03年框架价格 精装修 采光好 小区环境好 急售,前进巷9号,中楼层(共22层)| 2009年 |2室1厅 | 88.4平米| 南,0人关注/ 4天前发布,260万,"23,509元/平"
瑶海万达地铁口，电梯洋房，户型格局好，业主诚心出售,香格里拉花园,,,198万,"13,356元/平"
次新小区公园旁户型方正配套完善边户三房两卫诚售可谈,金辉优步大道,高楼层(共18层)3室1厅 | 102.4平米| 西,0人关注/ 4天前发布,127万,"12,778元/平"
城市经典 3室2厅 南,城市经典,,,160万,"11,173元/平"
九珑湾 3室2厅 南,九珑湾,中楼层(共8层)3室2厅 | 99.74平米| 南 北,0人关注/ 4天前发布,289万,"21,276元/平"
满五年 诚意出售 精装修 拎包入住 经典户型 经济实用,滨湖万科城,,,190万,"20,200元/平"
次新小区  采光视野好 业主精装自住  户型方正,万兴湖山间,低楼层(共6层)3室2厅 | 110.6平米| 南,0人关注/ 4天前发布,349万,"32,435元/平"
澜溪镇 市政供暖 湖景四房 精装修＋车位 空置随时看,澜溪镇,,,415万,"25,062元/平"
政务区  华邦世茂城 三室二厅一卫 全天采光 小区中间,世贸城,低楼层(共11层)| 2008年 |4室2厅 | 148.25平米| 南,2人关注/ 4天前发布,200万,"21,441元/平"
琥珀南村 3室2厅 南 北,琥珀南村,,,198万,"20,519元/平"
楼层好，配套齐全楼下就是菜市场，看房方便，价格可谈,拱辰街73号,高楼层(共16层)3室2厅 | 99.39平米| 南 北,0人关注/ 4天前发布,122万,"22,916元/平"
书香门第西区 3室2厅 南 北,书香门第西区,,,248万,"27,775元/平"
力高大发君御天下 2室1厅 南 北,力高大发君御天下,高楼层(共19层)| 2009年 |3室2厅 | 143.21平米| 南,1人关注/ 4天前发布,85万,"13,598元/平"
国安家园 3室2厅 南,国安家园,,,135万,"11,189元/平"
此房满五通透房型采光丰裕小区安静适合一家三口居住,水利水电基建局宿舍,中楼层(共32层)| 2010年 |3室2厅 | 135.84平米| 南,0人关注/ 4天前发布,110万,"12,821元/平"
业主工作变动 全新精装三房未住人 诚心出售,晨光苑北苑,,,120万,"14,353元/平"
信达天御枫丹阁 3室2厅 南,信达天御枫丹阁,高楼层(共31层)| 2013年 |3室2厅 | 94.06平米| 南,0人关注/ 4天前发布,218万,"23,096元/平"
纯万科，精装修次新房，未住人，采光好，近地铁,万科公园大道,,,122万,"12,484元/平"
地铁口经典毛坯次新三房诚意出售,江山印,高楼层(共18层)| 2022年 |3室2厅 | 107.6平米| 南,0人关注/ 4天前发布,240万,"24,221元/平"
总监推荐房：融创高品质住宅，好楼层精装三大件。,融创滨湖印,,,360万,"31,177元/平"
户型方正 中高楼层全天采光视野好，市政供暖，诚心卖,高速滨湖时代广场,中楼层(共11层)| 2008年 |4室2厅 | 165.59平米| 南,7人关注/ 4天前发布,175万,"19,615元/平"
金大地急售三房 公摊小实用面积大 小区中间采光全天,金大地1912,,,205万,"25,394元/平"
紫云府 2室1厅 南 北,紫云府,高楼层(共33层)| 2013年 |2室2厅 | 93.28平米| 南,0人关注/ 4天前发布,133万,"13,551元/平"
世茂云锦璞园 3室2厅 南,世茂云锦璞园,,,120万,"11,825元/平"
金大地时代天街，边户两房，中高楼层，诚心出售,金大地时代天街,高楼层(共6层)| 2000年 |3室2厅 | 96.5平米| 南 北,2人关注/ 4天前发布,100万,"14,756元/平"
禄徽苑  精装三室 带车位 中间楼层,禄徽苑,,,98万,"9,556元/平"
繁华地段 成熟社区 龙兴苑精装小两室，采光刺眼。,龙兴苑小区,高楼层(共34层)| 2016年 |3室2厅 | 102.56平米| 南,0人关注/ 4天前发布,60万,"9,488元/平"
精装修，满五唯一，采光视野好，看房方便,海亮九玺,,,142万,"15,667元/平"
国企开发位置好东方蓝海 2房楼层好，采光好,东方蓝海四期,高楼层(共11层)| 2008年 |2室1厅 | 63.24平米| 南,3人关注/ 4天前发布,140万,"17,253元/平"
黎阳嘉苑 3室2厅 南,黎阳嘉苑,,,175万,"15,384元/平"
满五年，免增值税，简单装修，采光好。业主诚意出售,蓝鼎观湖苑,高楼层(共27层)| 2016年 |2室1厅 | 90.64平米| 南,4人关注/ 5天前发布,152万,"15,732元/平"
广利花园南区 3室1厅 南,广利花园南区,,,320万,"26,029元/平"
包河苑 3室2厅 南,包河苑,高楼层(共30层)| 2014年 |2室2厅 | 81.15平米| 南,0人关注/ 5天前发布,100万,"12,156元/平"
户型方正 采光无遮挡 有车位 业主诚心出售,天下名筑,,,170万,"18,040元/平"
此房位于主城一环内 出门方便。多层公摊小，采光好,长淮新村A区,低楼层(共18层)| 2010年 |3室2厅 | 113.76平米| 南,0人关注/ 5天前发布,67万,"11,969元/平"
给我一个机会 给你一个家 文一名门华府好楼层诚心出售,文一名门华府,,,125万,"13,990元/平"
新上好房 业主诚心出售  采光好 价格好谈,信达水岸茗都,中楼层(共33层)| 2010年 |2室2厅 | 96.62平米| 南,0人关注/ 5天前发布,229万,"23,877元/平"
南小，45，低楼层，户型采光刺眼,红星路163号,,,220万,"47,333元/平"
紫桐新村AB区 3室1厅 南 北,紫桐新村AB区,低楼层(共6层)| 2006年 |3室1厅 | 122.94平米| 南,0人关注/ 5天前发布,120万,"14,797元/平"
次新小区精装修，拎包入住，看房方便，诚心出售,锦门云栖新语,,,115万,"13,024元/平"
