书名,价格,简介,出版信息
 呐喊（少年儿童读本，收录鲁迅小说集《呐喊》+《彷徨》）,¥8.00,中国现代白话小说的开山之作和扛鼎之作，鲁迅写的非常好的小说集。欲读鲁迅小说，只需读一本《呐喊》。 今天我们中国社会遇见的问题，鲁迅都曾在《呐喊》里提到过；鲁迅是超越时代的，今天，我们读鲁迅，更有其深刻意义。 中国国民的劣根性，在这本小说里鲁迅都提到过，比《丑陋的中国人》更深刻。 在鲁迅之前，中国小说史上还没有真正塑造农民形象的作品。鲁迅的真情始终倾注在农民身上，但他更重于挖掘旧中国农民的精神残疾和国民性格中的奴性。这在《彷徨》中也有深刻的体现。,鲁迅 著 /2015-01-01  /安徽教育出版社
 鲁迅代表作（，朝花夕拾+呐喊）,¥19.00,《朝花夕拾》是一部发人自省、催人奋进的教科书，也是认识中国人剖析中国人的经典范本。鲁迅曾说，他的哲学全在《野草》里，这是相当贴近鲁迅内心的一部作品。 如今，我们社会遇见的大多数问题，鲁迅都曾在《呐喊》和《彷徨》中提到过。 ◎ 经典中的经典，青少年摆脱冷气，向上进取动力来源。 鲁迅是跨时代的，今天，我们读鲁迅更有深刻的意义。早在民国时期，鲁迅便深刻剖析过中国人的性格特征。此外，鲁迅的作品中金句频出，今天读来依然醍醐灌顶、回味无穷。 ◎ 遴选的都是鲁迅的代表作，内容十分丰富 本套装全二册，收录散文集《朝花夕拾》《野草》，短篇小说集《呐喊》《彷徨》，收录的都是鲁迅的代表作，内容十分丰富，值得细细咀嚼、反复阅读。,鲁迅 /2015-01-01
 呐喊（百年纪念版）鲁迅亲手设计封面，亲自编辑定稿！完全复原初版封面，逐字校对初版文字。,¥12.80,◆逐句恢复初版文本，封面复原初版设计 ◆鲁迅亲自编辑定稿的传世母本 ◆鲁迅亲手设计的封面 ◆依据通行标准进行繁简转换 ◆超值附录鲁迅手稿和初版旧照,鲁迅 /2021-10-01  /崇文书局（原湖北辞书出版社）
 呐喊（《语文》推荐阅读丛书）人民文学出版社,¥10.00,,鲁迅 /2018-04-01  /人民文学出版社
 呐喊,¥12.20,,鲁迅 /2019-10-01  /天天出版社有限责任公司
 呐喊 延伸名著阅读高中 名著阅读课程化丛书,¥13.90,★精美版式，名家彩插。 ★优质纸环保印刷，字大清晰不累眼。 ★权威底本，批注精析，学习任务指导，培养整本书阅读方法和素养。 ★高中统编语文教材延伸阅读，增设 走进名著 阅读建议 资料链接 等栏目，帮助学生科学高效阅读。,鲁迅 /2021-06-01  /南方出版社
 乡土中国朝花夕拾呐喊骆驼祥子老人与海海底两万里昆虫记经典常谈简爱三国演义水浒传西游记红楼梦,¥8.10,,
 呐喊（语文教材配套书目）,¥15.52,★中国现代白话小说的开山之作！一代文豪为时代呐喊、渴望自由与光明的战歌。 ★二十世纪中文小说一百强，欲读鲁迅小说，只需一本《呐喊》。 ★风行百年，畅销不衰，激励着一代代的青年勇敢前行！ ★希望本是无所谓有，无所谓无的。这正如地上的路；其实地上本没有路，走的人多了，也便成了路。,鲁迅，酷威文化 出品 /2020-07-01  /万卷出版公司
 呐喊（鲁迅作品 单行本）,¥16.10,《呐喊》是鲁迅负有盛名的小说集之一，是中国现代小说的开山之作。收录1918年至1922年所作小说十四篇。代表性篇章有《狂人日记》《孔乙己》《药》《阿Q正传》《故乡》《社戏》等。表现了辛亥革命前后的社会思想状况，对封建主义和中国的国民性进行了批判。《呐喊》中的多篇小说收入中学及大中专院校语文教材。,鲁迅 /2021-07-01  /人民文学出版社
 鲁迅短篇小说集:呐喊(陈丹青推荐本),¥16.00,陈丹青先生自少年时代起，就非常喜欢《呐喊》。他说，这是 令我沉迷惚恍的小说 。五十年后，他重读《呐喊》，会是怎样的感受呢？陈丹青先生深情长文推荐，每个少年都应该读的一本书。 青年画家慕容引刀，为本书倾情创作十三副版画插图，精美绝伦，值得收藏！ 推荐您购买果麦其他畅销书：,鲁迅，果麦文化 出品 /2016-01-01  /天津人民出版社
 呐喊 鲁迅经典作品 价值精装典藏版 无障碍课外阅读经典名著大家名作各省级教育专家联袂,¥15.70,百年商务，经典版本：百年商务联合翻译名家，保证了经典名著的可读性、经典性。 专家审定，名家寄语：教育专家组织审定，多位著名作家以及评论家对该丛书给予厚望并为之寄语。 价值导向更强，突出价值阅读：价值阅读、素质导向，让名著阅读更贴近人生成长，回归阅读的本意。 实用性强，有效引导：设有无障碍阅读、重点段落、延伸阅读、名家面对面、人物关系表，全方位强化对作品的理解，借助对作家作品创作背后的故事，增强典藏性和趣味性的同时，着力作品深层次的解读。 品质卓越，典藏价值：无论从内容到装帧设计，从纸张选择到印刷，均严格要求，做到更好。品质高于同类出版物，极具典藏价值。,鲁迅 /2017-02-01  /商务印书馆
 呐喊,¥18.00,采用双封面包装，精美烫白工艺；版式疏朗大方，设计清新文艺；内文注释全面，字号适合阅读！ 原汁原味鲁迅作品，经典无删节版！设计前卫，装帧精美，工艺考究，高端大气，令人赏心悦目的鲁迅作品！ 希望是本无所谓有无所谓无的，这正如地上的路。其实地上本没有路，走的人多了，也便成了路。 挖掘国民劣根性，以笔代矛，以文为盾；拷问人性的卑劣，哀其不幸，怒其不争。,鲁迅 著 创美工厂 出品 /2017-10-01  /中国友谊出版公司
 (全本无删减)呐喊（视频讲解版）广东朝阳读书推荐书目 中小学生课外阅读书籍世界名著 无障碍阅读 考点导读+阅读方法+名师,¥8.90,名师详细讲解写作技巧，并结合学生习作分析作文的失分点，帮你改出好作文，成为升格佳作；选文分类齐全，不仅便于学习借鉴，而且迅速帮你拓宽写作思路。精彩的12堂视频微课，直观呈现，方便快捷。这样的好作文让你一学就会，不要再犹豫了，快来学习吧！,鲁迅 /2019-04-01  /北京教育出版社
 呐喊・彷徨（精装版）,¥12.80,《呐喊》是中国现代小说的开端与成熟的标志，开创了现代现实主义文学的先河。作品通过写实主义、象征主义、浪漫主义等多种手法，以传神的笔触和 画眼睛 、 写灵魂 的艺术技巧，形象生动地塑造了狂人、孔乙己、阿Q等一批不朽的艺术形象，深刻反映了19世纪末到20世纪20年代间中国社会生活的现状，有力揭露和鞭挞了封建旧恶势力，表达了作者渴望变革，为时代呐喊，希望唤醒国民的思想。奠定了鲁迅在中国现代文学史和现代文化史上的地位。,鲁迅 /2017-08-01  /中国文联出版社
