期号,开奖时间,总销售额,奖池,一等奖-注数,一等奖-金额,二等奖-注数,二等奖-金额,三等奖-注数,三等奖-金额
51期,2023-12-31,452958034元,2626575547元,10注,7807583元,112,313346元,1294,3000元
50期,2023-12-28,411922624元,2599366995元,7注,8074962元,109,246843元,1316,3000元
49期,2023-12-26,405361488元,2575173968元,4注,10000000元,134,217847元,1133,3000元
48期,2023-12-24,454223900元,2527599376元,39注,5414501元,424,47657元,4248,3000元
47期,2023-12-21,432874498元,2678144078元,8注,7564467元,96,267132元,1673,3000元
46期,2023-12-19,449833942元,2661725786元,9注,6968340元,172,128743元,2425,3000元
45期,2023-12-17,488324570元,2658009357元,8注,8328480元,195,170691元,1654,3000元
44期,2023-12-14,461560620元,2624782779元,9注,6787498元,151,133174元,2470,3000元
43期,2023-12-12,460243432元,2625542196元,32注,5793556元,187,169744元,2038,3000元
42期,2023-12-10,507406422元,2715709193元,3注,10000000元,130,301470元,1770,3000元
41期,2023-12-07,493963074元,2628135529元,11注,7529897元,220,158118元,2152,3000元
40期,2023-12-05,480392100元,2606606136元,12注,7033098元,123,247938元,1439,3000元
39期,2023-12-03,521719600元,2599513870元,7注,9460351元,133,293444元,1763,3000元
38期,2023-11-30,492601986元,2548652101元,3注,10000000元,78,473833元,1103,3000元
37期,2023-11-28,492348152元,2467775081元,6注,8591449元,213,126459元,3519,3000元
36期,2023-11-26,525192790元,2438516168元,21注,6073140元,240,117374元,2795,3000元
35期,2023-11-23,486609550元,2481542330元,23注,5669924元,221,87150元,3779,3000元
34期,2023-11-21,484355844元,2554169624元,28注,5894533元,232,134951元,2202,3000元
33期,2023-11-19,517770956元,2625290582元,17注,6512569元,306,105039元,2501,3000元
32期,2023-11-16,474511672元,2639577950元,24注,6034708元,339,91567元,2489,3000元
