排名,中文名,英文名,位置,类型,总分,办学层次
1,清华大学,Tsinghua University,北京,综合,969.2,37.9
2,北京大学,Peking University,北京,综合,855.3,36.1
3,浙江大学,Zhejiang University,浙江,综合,768.7,34.3
4,上海交通大学,Shanghai Jiao Tong University,上海,综合,723.4,35.5
5,南京大学,Nanjing University,江苏,综合,654.8,35.1
6,复旦大学,Fudan University,上海,综合,649.7,36.6
7,中国科学技术大学,University of Science and Technology of China,安徽,理工,577.0,40.0
8,华中科技大学,Huazhong University of Science and Technology,湖北,综合,574.3,32.1
9,武汉大学,Wuhan University,湖北,综合,567.9,31.8
10,西安交通大学,Xi'an Jiaotong University,陕西,综合,537.9,34.5
11,哈尔滨工业大学,Harbin Institute of Technology,黑龙江,理工,522.6,32.7
12,中山大学,Sun Yat-Sen University,广东,综合,519.3,30.9
13,北京师范大学,Beijing Normal University,北京,师范,518.3,34.8
14,四川大学,Sichuan University,四川,综合,516.6,30.7
15,北京航空航天大学,Beihang University,北京,理工,513.8,32.8
16,同济大学,Tongji University,上海,理工,508.3,33.2
17,东南大学,Southeast University,江苏,综合,488.1,34.3
18,中国人民大学,Renmin University of China,北京,综合,487.8,34.5
19,北京理工大学,Beijing Institute of Technology,北京,理工,474.0,32.3
20,南开大学,Nankai University,天津,综合,465.3,31.5
21,山东大学,Shandong University,山东,综合,447.0,28.8
22,天津大学,Tianjin University,天津,理工,444.3,32.7
23,中南大学,Central South University,湖南,综合,442.2,30.8
24,吉林大学,Jilin University,吉林,综合,435.7,30.4
25,西北工业大学,Northwestern Polytechnical University,陕西,理工,430.5,32.4
26,厦门大学,Xiamen University,福建,综合,427.8,32.7
27,华南理工大学,South China University of Technology,广东,理工,419.8,30.5
28,大连理工大学,Dalian University of Technology,辽宁,理工,418.2,30.2
29,华东师范大学,East China Normal University,上海,师范,401.8,35.2
30,中国农业大学,China Agricultural University,北京,农业,400.4,31.8
