rank,singer,song,time
1,我期待的不是雪 (而是有你的冬天),张妙格,2:46
2,西楼儿女,岳云鹏,4:20
3,离别开出花,就是南方凯,3:50
4,姑娘别哭泣 (弹唱版),柯柯柯啊,2:57
5,西楼儿女,海来阿木,4:17
6,大风吹倒梧桐树,侯泽润,3:21
7,直到你降临,阿肆,4:39
8,我想念,汪苏泷,3:44
9,我的纸飞机,GooGoo、王之睿,3:16
10,回不去的何止时间,吖毛,2:40
11,虚拟,陈粒,4:00
12,王招君 (你看你拉住我的模样),任素汐,4:15
13,一句先苦后甜,侯泽润,3:26
14,会开花的云,王樾安,3:31
15,其实都没有,于冬然,3:42
16,冷战,TizzyT、万妮达Vinida Weng,3:43
17,瞬,郑润泽,4:44
18,如果这就是爱情,张靓颖,4:42
19,姑娘别哭泣,艾北,3:55
20,你不知道的事,王力宏,4:38
21,冬天的秘密,周传雄,4:32
22,悬溺,葛东琪,3:17
23,兜兜转转,小京东,3:30
24,出现又离开 (Live),梁博,6:56
25,胡广生,任素汐,3:35
26,失控,井迪儿,4:15
27,All My People,Alexandra Stan、Manilla Maniacs,3:19
28,Nothin' on Me,Leah Marie Perez,3:37
29,星光就在前方,抠抠,3:58
30,若梦,周深,4:04
31,凄美地,郭顶,4:10
32,A Sad Me In Your Eyes (你眼中悲伤的我),昨夜派对（L.N Party）,4:18
33,声声,檀健次,4:13
34,不潮不用花钱,林俊杰,3:53
35,我的纸飞机 (治愈版),李怡然同学、王之睿,2:50
36,月光,胡彦斌,4:39
37,年少的你啊,浩然H.R,3:00
38,天后,陈势安,4:49
39,朝夕,檀健次,4:24
40,我的歌声里,曲婉婷,3:36
41,与君归,檀健次、不才,4:53
42,悲伤的流行歌,我是土豆,3:16
43,最好的安排,曲婉婷,4:10
44,月亮代表我的心里有问题,三角COOL,3:22
45,太早,刘允乐,3:51
46,谁,曲肖冰,4:37
47,暖一杯茶,邵帅,4:03
48,听说你,于冬然,3:59
49,奢香夫人,凤凰传奇,4:19
50,慢慢,小乐哥（王唯乐）,3:57
51,命运,家家,3:48
52,不将就,李荣浩,5:13
53,意外,薛之谦,4:51
54,万骨催沙,檀健次,4:44
55,姑娘别哭泣 (懒羊羊版),懒大王,2:55
56,反方向的钟,周杰伦,4:18
57,在你的身边,盛哲,4:22
58,Jar Of Love,曲婉婷,3:50
59,卜卦,崔子格,3:36
60,奉上,摩登兄弟刘宇宁,3:52
61,海阔天空,BEYOND,5:26
62,HEAVEN,Ailee,3:31
63,直到世界尽头 (Live),陈楚生、王栎鑫、陆虎、张远、俞灏明,5:05
64,借梦,周深,3:38
65,老人与海,海鸣威、吴琼,4:27
66,失余年 (续沈园外),尹昔眠、孙鹏凯,3:41
67,偏爱,张芸京,3:32
68,天后,于冬然,3:38
69,你不知道的事,en,3:52
70,化风行万里,云朵,4:07
71,我会等,承桓,3:15
72,负我不负她,赵洋,4:09
73,太阳 (你看着我眼睛),刘鹏,3:46
74,晴天,周杰伦,4:29
75,天后,en,3:47
76,想你时风起,单依纯,4:36
77,雪藏,呆呆破,3:30
78,万千花蕊慈母悲哀,珂拉琪,3:56
79,总会有人,向思思,3:30
80,忘记,郑润泽,4:22
81,起风了,买辣椒也用券,5:25
82,黄昏晓,王心凌,2:55
83,多远都要在一起,G.E.M. 邓紫棋,3:37
84,如愿,王菲,4:25
85,我记得,赵雷,5:29
86,沈园外,阿YueYue、戾格,3:43
87,可能,程响,3:38
88,Trap (Korean Ver.),HENRY刘宪华、圭贤、泰民,3:45
89,半点心,草蜢,3:52
90,一路向北,周杰伦,4:55
91,迟来的爱 (新版),金润吉,3:25
92,烟花易冷,周杰伦,4:23
93,最后一页,江语晨,4:05
94,北方的春天开不出南方的花,耳朵便利店,3:10
95,向云端,小霞、海洋Bo,4:11
96,再回首,李雨婷,4:12
97,美人鱼,林俊杰,4:14
98,不问ciaga (不问别离),指尖笑,2:43
99,枫,周杰伦,4:35
100,希望你被这个世界爱着,吕口口,3:49
101,后来,刘若英,5:38
102,幸福了 然后呢,A,5:07
103,Letting Go,蔡健雅,4:23
104,我走后,小咪,4:08
105,我是如此相信,周杰伦,4:26
106,喜欢你,G.E.M. 邓紫棋,3:59
107,呓语,毛不易,4:31
108,姑娘在远方,柯柯柯啊,3:22
109,不遗憾,李荣浩,5:20
110,晚风心里吹,阿梨粤,3:06
111,此生不换,青鸟飞鱼,4:25
112,My Stupid Heart (Kids Version),Walk Off the Earth、Luminati Suns、Gianni Luminati Nicassio、Jake Torrey、Michael Matosic、Sarah Blackwood、Tokyo Speirs,2:48
113,You & Me,JENNIE,2:59
114,我们俩,郭顶,3:13
115,一直很安静,阿桑,4:10
116,戒烟,李荣浩,4:53
117,毒药,Zealot周星星,3:35
118,裹着心的光,林俊杰,4:33
119,七里香,周杰伦,4:59
120,兰亭序,周杰伦,4:13
121,我太笨,锤娜丽莎,4:24
122,不需要挽留 (Move On),Mr.16罗隽永、Simyee陈芯怡,3:14
123,平凡之路,朴树,5:01
124,乌兰巴托的夜,丹正母子,3:11
125,我知道,BY2,4:10
126,Call of Silence,澤野弘之,2:58
127,我落泪情绪零碎,周杰伦,4:17
128,红色高跟鞋,蔡健雅,3:26
129,黄昏,周传雄,5:43
130,在深秋,阿悄,4:54
131,我把往事化如烟,侯泽润,3:04
132,东三省的雪,林三七,3:06
133,后来的我们,五月天,5:46
134,Payphone (Explicit),Maroon 5、Wiz Khalifa,3:52
135,寂寞烟火,蓝心羽,4:12
136,忘记时间,胡歌,4:32
137,可不可以,张紫豪,4:00
138,用情,羊羊,3:34
139,再见我的女孩,烟(许佳豪),3:19
140,爱人错过,告五人,4:52
141,是你 (Live),张靓颖、王赫野,3:54
142,说好的幸福呢,周杰伦,4:16
143,Sea Of Problems (Explicit),Glichery,1:50
144,违背的青春,薛之谦,5:36
145,不枉 (Live),宋亚轩,3:58
146,三千世界不见你,井胧,3:06
147,一程山路,毛不易,3:35
148,江南,林俊杰,4:27
149,挪威的森林,伍佰 & China Blue,6:31
150,淘汰,陈奕迅,4:45
151,稻香,周杰伦,3:43
152,女儿国,张靓颖、李荣浩,5:03
153,天若有情,A,4:17
154,Catch My Breath,Kelly Clarkson,4:10
155,三国恋,Tank,4:06
156,他不懂,张杰,3:51
157,桃花诺,G.E.M. 邓紫棋,3:39
158,人间烟火,程响,3:53
159,雪季,白鹿,4:39
160,把回忆拼好给你,苏星婕,3:01
